Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Trades,Taker Base Volume,Taker Quote Volume,Ignore
2020-03-21,6204.47,6457.17,5854.01,6183.69,387679.649,2020-03-21 23:59:59.999,2387762770.11733,986672,209288.231,1289545015.12736,0
2020-03-22,6183.84,6408.91,5730.35,5810.17,391002.795,2020-03-22 23:59:59.999,2379970465.43368,1072425,206652.155,1258271434.02062,0
2020-03-23,5810.30,6619.90,5670.00,6463.84,489746.087,2020-03-23 23:59:59.999,3012248578.73576,1193611,257236.824,1581915987.30933,0
2020-03-24,6463.21,6840.00,6369.00,6741.33,437968.553,2020-03-24 23:59:59.999,2903592538.87217,1114257,220131.441,1459407736.50984,0
2020-03-25,6740.86,6960.71,6436.26,6673.41,400684.542,2020-03-25 23:59:59.999,2667204859.27760,1046097,210095.392,1398811490.78229,0
2020-03-26,6673.57,6777.50,6500.00,6733.76,281245.628,2020-03-26 23:59:59.999,1870132448.53115,808889,144932.277,963995272.44565,0
2020-03-27,6733.76,6840.00,6230.00,6353.64,258213.519,2020-03-27 23:59:59.999,1715677661.94467,741333,128814.892,856756136.69612,0
2020-03-28,6353.64,6354.74,6004.00,6230.95,341944.185,2020-03-28 23:59:59.999,2120036125.18386,1008455,179087.046,1110754027.49350,0
2020-03-29,6231.81,6260.00,5857.60,5876.27,251335.919,2020-03-29 23:59:59.999,1525085226.99231,695647,129308.418,785278094.70524,0
2020-03-30,5876.27,6606.15,5850.00,6391.08,387321.998,2020-03-30 23:59:59.999,2435748934.79350,1071219,206399.459,1297813744.08973,0
2020-03-31,6389.52,6516.63,6320.00,6407.10,262522.644,2020-03-31 23:59:59.999,1689175318.59372,790788,135500.437,872136163.36932,0
2020-04-01,6407.10,6693.00,6140.00,6641.51,390529.602,2020-04-01 23:59:59.999,2470585503.92402,1158799,205706.298,1302204912.98308,0
2020-04-02,6641.22,7290.00,6542.73,6791.63,531321.428,2020-04-02 23:59:59.999,3604597593.43110,1382876,275029.952,1866373988.52023,0
2020-04-03,6791.65,7049.11,6600.00,6729.80,411944.927,2020-04-03 23:59:59.999,2809083862.31635,1074346,213227.061,1454161274.24010,0
2020-04-04,6729.80,7020.00,6629.99,6851.10,319849.757,2020-04-04 23:59:59.999,2168134179.35285,918658,168633.540,1143488982.77319,0
2020-04-05,6851.40,6893.44,6668.02,6768.90,239224.508,2020-04-05 23:59:59.999,1622119002.66283,698862,124679.648,845686533.03934,0
2020-04-06,6768.90,7370.00,6760.00,7325.73,461331.013,2020-04-06 23:59:59.999,3269655313.60241,1279153,245413.283,1739459125.79713,0
2020-04-07,7325.73,7457.00,7070.43,7192.90,419572.040,2020-04-07 23:59:59.999,3065548691.90531,1075255,209708.684,1532853201.78747,0
2020-04-08,7192.90,7417.83,7145.14,7357.66,332599.575,2020-04-08 23:59:59.999,2426530950.31658,1007080,169892.335,1239759697.97260,0
2020-04-09,7357.15,7365.69,7105.98,7278.65,293638.581,2020-04-09 23:59:59.999,2136691783.39294,844238,148199.882,1078758413.36993,0
2020-04-10,7278.83,7290.00,6741.00,6857.82,440148.453,2020-04-10 23:59:59.999,3057722780.62013,1366733,211454.736,1468630300.74734,0
2020-04-11,6858.00,6944.28,6757.29,6874.18,224157.844,2020-04-11 23:59:59.999,1535701119.55164,703329,118780.248,813906235.84925,0
2020-04-12,6874.17,7173.98,6775.66,6900.52,321594.822,2020-04-12 23:59:59.999,2245397129.53634,960439,165602.500,1156344165.98682,0
2020-04-13,6900.19,6900.99,6558.00,6834.00,421954.773,2020-04-13 23:59:59.999,2840095791.57115,1257602,216013.226,1454395944.52992,0
2020-04-14,6834.01,6975.60,6751.00,6864.11,280445.427,2020-04-14 23:59:59.999,1926255197.49405,1002761,144042.067,989428438.98085,0
2020-04-15,6864.11,6929.00,6602.59,6616.89,281136.689,2020-04-15 23:59:59.999,1902882417.25705,978500,140357.102,950242642.95066,0
2020-04-16,6616.88,7190.92,6465.33,7098.15,559868.603,2020-04-16 23:59:59.999,3869854829.89996,1570129,297526.011,2057137960.75988,0
